Title,Old Price,Promotional Price,Rating,Link,Description
"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes",1.0,245.0,3.7,https://www.jumia.ma/generic-console-de-jeu-video-sans-fil-ecran-hd-4k-64gb-hdmi-avec-10000-jeux-2-manettes-63205772.html,"Console de jeu vidéo compatible HDMI 4KLe mini-jeu portable 4K TV Games a un corps léger et compact. Plug and Play, ne prend pas trop de place et est facile à transporter, adapté aux voyages et à la maison. Cette console de jeu vidéo est adaptée aux ultra-haute -définition TV/ordinateur/moniteur/projecteur, prend en charge la connexion compatible HDMI, a une qualité d'image HD 1080p et peut profiter de jeux vidéo vivants et intéressants sur grand écran.Prise en charge de 9 formats de jeuAvec la puce CPU GB2 améliorée, la console de jeux Game Stick 4K TV est intégrée à plus de 9 émulateurs, compatibles avec les jeux au format MAME, PS1, GB, GBA, GBC, MD, SFC, FC et ATARI, que vous pouvez télécharger et enregistrer. à sa carte mémoire ;Disque U de jeu rétro intelligent amélioréUne console de jeu TV sans fil avec plus de 10000 types de jeux riches est installée, 9 émulateurs prenant en charge plusieurs jeux sont installés et une carte TF de 32 Go est attachée. Utilisez des puces de jeu mises à niveau pour prendre en charge les émulateurs 8 bits, 16 bits, 32 bits, 64 bits, 128 bits et autres. Il répond parfaitement à vos besoins de qualité d'image et de fluidité de jeu."
"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes",816.0,245.0,3.7,https://www.jumia.ma/generic-console-de-jeu-video-sans-fil-ecran-hd-4k-64gb-hdmi-avec-10000-jeux-2-manettes-63348432.html,"Console de jeu vidéo compatible HDMI 4KLe mini-jeu portable 4K TV Games a un corps léger et compact. Plug and Play, ne prend pas trop de place et est facile à transporter, adapté aux voyages et à la maison. Cette console de jeu vidéo est adaptée aux ultra-haute -définition TV/ordinateur/moniteur/projecteur, prend en charge la connexion compatible HDMI, a une qualité d'image HD 1080p et peut profiter de jeux vidéo vivants et intéressants sur grand écran.Prise en charge de 9 formats de jeuAvec la puce CPU GB2 améliorée, la console de jeux Game Stick 4K TV est intégrée à plus de 9 émulateurs, compatibles avec les jeux au format MAME, PS1, GB, GBA, GBC, MD, SFC, FC et ATARI, que vous pouvez télécharger et enregistrer. à sa carte mémoire ;Disque U de jeu rétro intelligent amélioréUne console de jeu TV sans fil avec plus de 10000 types de jeux riches est installée, 9 émulateurs prenant en charge plusieurs jeux sont installés et une carte TF de 32 Go est attachée. Utilisez des puces de jeu mises à niveau pour prendre en charge les émulateurs 8 bits, 16 bits, 32 bits, 64 bits, 128 bits et autres. Il répond parfaitement à vos besoins de qualité d'image et de fluidité de jeu."
Chargeur Manette PS5 Double Manette Playstation 5,240.0,164.0,4.8,https://www.jumia.ma/generic-chargeur-manette-ps5-double-manette-playstation-5-65020662.html,"Indicateur de charge LED pour chargeur PS5Il suffit de placer les deux
 manettes sur la station de charge PS5 et les télécommandes commenceront
 à se charger. La lumière LED montée à l'avant spécialement conçue pour 
la base de charge PS5 indique clairement que la charge est terminée ; 
une lumière rouge indique la charge et une lumière verte indique que la 
manette est entièrement chargée ou en mode veille2-3 heures de charge rapideCette station de recharge pour manette PS5 est livrée avec un câble de 
recharge USB Type C séparé. Le chargeur de manette PS5 peut charger 2 
manettes en 2 à 3 heures. (Veuillez vous assurer que l'adaptateur que 
vous utilisez est standard 5 V/2 A, sinon cela peut affecter le temps de
 charge.)Ce chargeur de contrôleur pour Playstation 5 dispose d'une puce de 
protection intégrée qui protège les deux contrôleurs contre les 
surintensités, les surtensions ou les courts-circuits. Pas besoin de 
s'inquiéter de vos contrôleurs, même s'ils ont été chargés toute la nuitSupport de manette compact PS5Ce chargeur de manette sans fil PS5 dispose de 4 patins en caoutchouc antidérapants pour maintenir le chargeur en place. La conception compacte du port charge efficacement deux contrôleurs PS5 simultanément. L'esthétique du design physique des côtés et des courbes blancs correspond à l'apparence de la console, ce qui en fait un accessoire élégant et idéal pour la PS5.Lumière respiranteLa lumière respirante bleue crée une bonne atmosphère de jeu, et vous 
pouvez l'éteindre grâce à l'interrupteur situé à l'arrière de la base de
 charge (l'interrupteur ne peut contrôler que la lumière bleue."
"station de chargement pour manette PS5, sans fil, avec indicateur LED double Base de chargement",536.0,185.0,4.7,https://www.jumia.ma/generic-station-de-chargement-pour-manette-ps5-sans-fil-avec-indicateur-led-double-base-de-chargement-64936179.html,"Prend en charge la charge simultanée des manettes P5Le chargement est pratique, la poignée est placée sur le chargeur, et il peut être chargé immédiatementLe voyant LED et la base électroluminescente ont des fonctions d'indication de charge et de saturation, qui peuvent comprendre intuitivement l'état de chargeLa fonction de charge à double poignée économise mieux l'espace et la puissance de l'équipementCâble de chargement caché, câble d'alimentation USB caché, facile à ranger lorsqu'il n'est pas utilisé"
Capuchon Poignée Analogique pour manettes PS4 4 Pièces,47.0,38.5,5.0,https://www.jumia.ma/generic-capuchon-poignee-analogique-pour-manettes-ps4-4-pieces-65134929.html,"Capuchon Poignée Analogique pour manettes PS4 PS5 XBOX 4 PiècesMatériel de silicone de haute qualité avec le toucher doux. Assurez - vous d'avoir la meilleure adhérence possible pendant la course, assurez - vous d'être plus flexible et d'avoir une meilleure expérience de course. Il protège également la poignée de la poussière et de l'usure. Bonne expérience de jeu. Cette housse de protection en silicone pour extrusion du pouce peut augmenter la friction, améliorer l'adhérence, améliorer votre fonctionnement, réagir rapidement, ne pas être sujet aux erreurs et améliorer considérablement votre expérience de jeu.Facile à installer: le manchon de pouce du joystick est très facile à installer. Il suffit d'insérer doucement le bouton en silicone du couvercle du joystick, le couvercle de protection fixera fermement le joystick analogique et le protégera de la saleté et de l'usure du Joystick Paquet: vous recevrez 4 paires d'accessoires de protection de manette de jeu. Vous pouvez vous amuser avec vos amis."
Kjh Incassable Film de protection d'écran en verre trempé pour Console Switch OLED,74.0,59.0,5.0,https://www.jumia.ma/kjh-incassable-film-de-protection-decran-en-verre-trempe-pour-console-switch-oled-64797712.html,"Spécialement conçu pour la console de jeu NS OLED. L'article est conçu pour protéger l'écran LCD des dommages et des rayures avec un verre spécialement traité qui a été renforcé pour augmenter l'absorption des chocs. Toute la surface du protecteur est transparente et la face arrière est recouverte d'un adhésif silicone puissant pour une installation facile. Une fois installé, il n'y a aucun espace entre l'écran LCD et le protecteur, ce qui signifie que la sensibilité de l'écran tactile n'est pas affectée. Transparence totale le protecteur a une épaisseur de 0,3 mm et est fabriqué en verre trempé transparent traité chimiquement. Le protecteur a un revêtement oléophobe qui empêche les empreintes digitales et autres contaminants et rend le film facile à nettoyer. Le protecteur est recouvert au dos d'un adhésif silicone puissant qui facilite l'installation et fixe fermement le film afin de ne pas affecter la sensibilité de l'écran tactile. Compatible avec NS Switch OLED."
Nouveau mini Clavier et Souris Sans Fil Bluetooth USB,180.0,149.0,4.7,https://www.jumia.ma/generic-nouveau-mini-clavier-et-souris-sans-fil-bluetooth-usb-61372995.html,"Dernière technologie sans fil 2,4 GHz pour une portée bien plus grande (jusqu'à 10 mètres), moins de chance d'interférences avec d'autres appareils sans fil à proximité. Indicateurs de charge de la batterie sur le clavier.Souris optique sans fil. Design satiné au toucher et pour cliquer.Le receveur USB sans fil est intégré discrètement au dos de la souris.Le protège clavier en gel gratuit protège le clavier de la poussière, des salissures, des liquides et des rayures."
Chargeur Secteur PSP 1000 2000 3000 5V 2A - PSP 1000 / PSP Slim & Lite 2000 / PSP 3000,100.0,67.0,5.0,https://www.jumia.ma/generic-chargeur-secteur-psp-1000-2000-3000-5v-2a-psp-1000-psp-slim-lite-2000-psp-3000-65021295.html,"100% neuf et de haute qualité. Entrée d'alimentation : 100 V-240 ~ 0,3 A 50/60 Hz, puissance de sortie : 5 V --- 1 500 mA.-- Prend en charge tous les modèles PSP 1000, 2000, 3000 et E1004 (dernier modèle). Petit et léger, facile à transporter.-- Le produit a une vitesse de charge élevée. Fabriqué en matériau résistant au feu, sûr et fiable.-- Plug and play, facile à utiliser. Le chargeur mural convient parfaitement à la PSP 1000/2000/3000.  Adaptateur secteur pour appareil de jeu PSP. Un chargeur de remplacement fiable pour votre PSPCet adaptateur, prêt à voyager. Puissance nominale : 5,0 volts 2,0 ampères. Prend en charge 100 V - 240 V (utilisation mondiale), 50/60 Hz.100 % compatible OEM. Augmente la luminosité de l'écran à 200 cd/m2. Approuvé UL.Remarque:En raison de l'effet de lumière, la couleur réelle peut être différente de la couleur sur site Veuillez permettre des différences de 1 à 3cm en raison de la mesure manuelle."
"Casque de jeu filaire avec micro 3.5MM stéréo pour PS4, PC, PS3, XBOX, NINTENDO SWITCH",299.0,69.0,3.5,https://www.jumia.ma/generic-casque-de-jeu-filaire-avec-micro-3.5mm-stereo-pour-ps4-pc-ps3-xbox-nintendo-switch-37204879.html,"Casque de jeu filaire écouteurs pour Sony PS4 casque avec Microphone 3.5mm stéréo basse profonde écouteurs pour Sony PlayStation 4Casque de jeu de haute qualité pour n'importe quelle console de jeuPlugin à la manette PS4 pour divertissement audioGrandes oreillettes souples pour un confort optimal lors de longues sessions de jeuLe contrôleur de Volume et le commutateur muet peuvent facilement ajuster vos besoinsFlexible microphoneConvient pour PC, ordinateur portable, PS4, Console de jeu"
"Sony Console PS4 Slim (500 GB, 8Go RAM) - Noir",4.0,3.0,5.0,https://www.jumia.ma/sony-console-ps4-slim-500-gb-8go-ram-noir-63242122.html,"PS4 Slim 500GB Noir : Une console de jeu puissante et élégante Description détaillée : La PS4 Slim 500GB Noir est une console de jeu vidéo qui allie puissance, performance et élégance dans un design compact. Cette version améliorée de la célèbre PlayStation 4 offre une expérience de jeu immersive et captivante, faisant d'elle l'une des consoles les plus appréciées par les joueurs du monde entier. Un design élégant et compact :La PS4 Slim arbore un design épuré et élégant, avec des lignes fines et équilibrées. Sa taille compacte lui permet de s'intégrer facilement dans n'importe quel espace de divertissement, que ce soit dans le salon ou la chambre. Son coloris noir classique apporte une touche de sophistication à votre environnement de jeu. Des performances optimales :Équipée d'un processeur AMD Jaguar 8 cœurs et d'un GPU AMD Radeon, la PS4 Slim délivre des performances fluides et rapides. Les jeux se chargent rapidement, les graphismes sont nets et les temps de réponse sont réduits pour une expérience de jeu sans accroc. Que vous jouiez à des jeux en ligne, des titres solo époustouflants ou que vous profitiez de services de streaming, la PS4 Slim est prête à relever tous les défis. Une mémoire généreuse :Avec son disque dur de 500GB, la PS4 Slim offre une capacité de stockage généreuse pour sauvegarder vos jeux, vos captures d'écran, vos vidéos et vos données de jeu. Vous pouvez également étendre la capacité de stockage en connectant un disque dur externe via l'un des ports USB disponibles. Expérience de jeu connectée :La PS4 Slim vous offre une expérience de jeu connectée et sociale. Grâce à la connexion Internet, vous pouvez accéder au PlayStation Network pour jouer en ligne avec vos amis ou d'autres joueurs du monde entier. Vous pouvez également partager vos exploits de jeu, diffuser vos parties en direct ou télécharger du contenu exclusif. Une large sélection de jeux :La PS4 Slim dispose d'une bibliothèque de jeux impressionnante, avec des titres pour tous les goûts et tous les âges. Des jeux d'action, d'aventure, de sport, de course, de simulation, et bien plus encore, vous attendent pour des heures de divertissement sans fin. Conclusion :La PS4 Slim 500GB Noir est la console de jeu idéale pour les passionnés de jeux vidéo qui recherchent une expérience de jeu immersive, des performances optimales et une vaste sélection de jeux. Son design élégant et sa capacité de stockage généreuse en font un excellent choix pour tous les joueurs, qu'ils soient débutants ou confirmés. Profitez dès maintenant de l'expérience de jeu ultime avec la PS4 Slim 500GB Noir, disponible chez ENJOYPLANET au meilleur prix."
